"id","type","uz","ru","prompt"
"verb-0","verb","kirmoq","входить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kirmoq"" meaning ""входить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-1","verb","chiqmoq","выходить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""chiqmoq"" meaning ""выходить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-2","verb","kutmoq","ждать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""kutmoq"" meaning ""ждать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-3","verb","oʻtirmoq","сидеть","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""oʻtirmoq"" meaning ""сидеть"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-4","verb","ishlamoq","работать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ishlamoq"" meaning ""работать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-5","verb","yashamoq","жить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yashamoq"" meaning ""жить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-6","verb","ichmoq","пить","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""ichmoq"" meaning ""пить"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-7","verb","yemoq","есть, кушать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""yemoq"" meaning ""есть, кушать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-8","verb","bermoq","давать","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""bermoq"" meaning ""давать"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
"verb-9","verb","boʻlmoq","быть, состояться","Create a square 1024x1024 educational flashcard illustration for the Uzbek word ""boʻlmoq"" meaning ""быть, состояться"". Style: clean soft 3D clay/vector illustration, warm off-white background, centered subject, friendly but not childish, no text, no letters, no numbers, no watermark. Make the meaning visually obvious for a beginner language learner. Use one clear object or simple everyday scene."
